City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,sur,0,OM,1670385716,49,22.5667,59.5289,74.82,3.24
85,taltal,52,CL,1670385509,84,-25.4,-70.4833,63.41,0.83
86,mys shmidta,100,RU,1670385717,87,62.0589,48.6201,17.01,8.79
87,bredasdorp,0,ZA,1670385717,75,-34.5322,20.0403,58.73,2.35
88,kaitangata,3,NZ,1670385717,59,-46.2817,169.8464,58.73,18.25
89,adrar,0,MR,1670385718,36,20.5022,-10.0711,73.98,6.15
90,georgetown,20,MY,1670385423,79,5.4112,100.3354,86.9,5.99
91,porto walter,0,PT,1670385595,94,41.1496,-8.611,55.29,8.05
92,pacific grove,100,US,1670385718,78,38.482,-90.7415,47.52,2.84
93,sitka,100,US,1670385719,87,57.0531,-135.33,42.69,8.05
94,carnarvon,42,AU,1670385719,64,-24.8667,113.6333,74.57,15.43
95,moussoro,2,TD,1670385720,17,13.6408,16.4901,66.78,13.67
96,rocha,0,UY,1670385720,77,-34.4833,-54.3333,58.98,6.93
97,kavieng,93,PG,1670385721,73,-2.5744,150.7967,83.28,11.21
98,fraserburgh,100,GB,1670385721,69,57.6874,-2.0184,36.12,23.44
99,talnakh,100,RU,1670385722,96,69.4865,88.3972,13.39,10.47
100,bambous virieux,43,MU,1670385722,75,-20.2567,57.4061,79.14,13.82
101,yar-sale,55,RU,1670385723,91,66.8333,70.8333,0.77,7.43
102,balkanabat,79,TM,1670385723,42,39.5108,54.3671,33.69,3.18
103,lagoa,98,PT,1670385723,78,39.05,-27.9833,57.85,35.48
104,zhezkazgan,100,KZ,1670385229,77,47.8043,67.7144,-7.62,6.71
105,ancud,100,CL,1670385724,86,-41.8697,-73.8203,55.47,7.29
106,jalu,13,LY,1670385724,37,29.0331,21.5482,61.07,7.74
107,jamestown,100,US,1670385425,79,42.097,-79.2353,44.19,6.91
108,kem,100,RU,1670385725,91,64.9555,34.5793,24.03,10.54
109,tonekabon,94,IR,1670385725,79,36.8163,50.8738,46.9,1.7
110,casa grande,53,NI,1670385726,96,13.3383,-85.371,64.81,3.02
111,mount gambier,19,GB,1670385726,86,53.6597,-1.8537,33.96,3.38
112,wadsworth,100,US,1670385726,95,41.0256,-81.7299,46.94,1.99
113,norman wells,100,US,1670385441,89,35.2226,-97.4395,42.96,3.0
114,chaman,10,PK,1670385626,41,30.9236,66.4512,52.23,1.86
115,deputatskiy,91,RU,1670385727,92,69.3,139.9,-23.39,4.27
116,nemuro,76,JP,1670385727,52,43.3236,145.575,39.52,18.05
117,nantucket,100,US,1670385700,89,41.2835,-70.0995,52.14,17.47
118,bengkulu,99,ID,1670385728,67,-3.8004,102.2655,83.17,5.39
119,raudeberg,100,NO,1670385728,59,61.9875,5.1352,27.27,21.72
120,souillac,52,MU,1670385729,81,-20.5167,57.5167,76.8,17.13
121,sibolga,100,ID,1670385219,86,1.7427,98.7792,78.01,2.35
122,port hardy,100,CD,1670385709,72,-7.0349,29.7638,70.77,4.27
123,khatanga,96,RU,1670385729,98,71.9667,102.5,-16.92,8.99
124,tir pol,1,LB,1670385730,72,33.2733,35.1939,57.2,4.9
125,isakly,16,RU,1670385730,96,54.1333,51.5333,-1.75,3.22
126,san cristobal,14,ML,1670385730,21,13.3034,-4.8956,76.87,8.48
127,dikson,100,RU,1670385501,92,73.5069,80.5464,3.33,12.88
128,bondo,42,CD,1670385731,93,3.8146,23.6866,67.05,1.88
129,teguldet,100,RU,1670385731,93,57.3064,88.1667,6.93,10.29
130,cape town,0,CL,1670385732,52,-36.413,-71.9028,55.85,5.79
131,green valley,100,US,1670385732,96,40.9459,-81.4832,47.79,1.99
132,chuy,0,UY,1670385504,95,-33.6971,-53.4616,62.26,5.61
133,acapulco,1,MX,1670385492,84,16.8634,-99.8901,77.02,3.4
134,torbay,100,CA,1670385549,97,47.6666,-52.7314,36.57,11.5
135,parsons,71,US,1670385437,88,37.3403,-95.2611,42.98,3.22
136,cam ranh,7,AR,1670385733,35,-38.9838,-67.8222,71.87,6.82
137,fort walton beach,85,NL,1670385734,89,52.6517,6.3861,39.04,7.67
138,maniitsoq,100,GL,1670385142,89,65.4167,-52.9,32.32,21.32
139,cabo san lucas,38,BR,1670385551,85,-8.2833,-35.0333,80.53,3.47
140,norden,100,DE,1670385735,97,53.6,7.2,40.96,21.65
141,airai,64,TL,1670385497,38,-8.9266,125.4092,77.85,3.47
142,upernavik,97,GL,1670385735,86,72.7868,-56.1549,23.59,11.21
143,creston,0,US,1670385736,80,41.0586,-94.3614,29.71,4.61
144,mykolayiv,91,UA,1670385736,94,46.9659,31.9974,34.72,8.32
145,comodoro rivadavia,67,BR,1670384965,97,-13.6631,-59.7858,67.82,4.18
